Adjektiv,Komparativ,Superlativ,Übersetzung,Beschreibung
negativ,negativer,am negativsten,negativo,-
grundsätzlich,grundsätzlicher,am grundsätzlichsten,fundamental,-
mittelmäßig,mittelmäßiger,am mittelmäßigsten,mediocre,-
geboren,-,-,nacido,-
geschieden,-,-,divorciado,-
verwitwet,-,-,viudo,-
üblich,üblicher,am üblichsten,común,-
gemainsam,gemeinsamer,am gemeinsamsten,en conjunto/común,-
afrikanisch,afrikanischer,am afrikanischsten,africano,-
asiatisch,asiatischer,am asiatischsten,asiático,-
ozeanisch,ozeanischer,am ozeanischsten,oceánico,-
gruselig,gruseliger,am gruseligsten,escalofriante,-
allergisch,allergischer,am allergischsten,alérgico,-
hungrig,hungriger,am hungrigsten,hambriento,-
minderjährig,-,-,menor de edad,-
volljährig,-,-,mayor de edad,-
erziehbar,erziehbarer,am erziehbarsten,educable,-
zuständig,zuständiger,am zuständigsten,responsable,-
senil,seniler,am senilsten,senil,-
gebrechlich,gebrechlicher,am gebrechlichsten,frágil,-
pflegebedürftig,pflegebedürftiger,am pflegebedürftigsten,dependiente de cuidados,-
anfällig,anfälliger,am anfälligsten,vulnerable,-
geistig,geistiger,am geistigsten,mental,-
weiblich,weiblicher,am weiblichsten,femenino,-
männlich,männlicher,am männlichsten,masculino,-
gegenseitig,gegenseitiger,am gegenseitigsten,mutuo,-
verliebt,verliebter,am verliebtesten,enamorado,-
verlobt,verlobter,am verlobtesten,comprometido,-
befreundet,befreundeter,am befreundetsten,amistoso,-
getrennt,getrennter,am getrenntesten,separado,-
