Infinitiv,Präsens,Partizip II,Präteritum,Konjunktiv II,Übersetzung,Beschreibung,Kasus,Treffer Konjugations,Treffer Deutsch,Treffer Spanisch
plaudern,plaudert,hat geplaudert,plauderte,plauderte,charlar amigablemente,-,-,0/0,0/0,0/0
quasseln,quasselt,hat gequasselt,quasselte,quasselte,charlar sin sentido,-,-,0/0,0/0,0/0
quatschen,quatscht,hat gequatscht,quatschte,quatschte,charlar informalmente,-,-,0/0,0/0,0/0
vergessen,vergisst,hat vergessen,vergaß,vergäße,olvidar,-,Akk,0/0,0/0,0/0
erinnern,erinnert,hat erinnert,erinnerte,erinnerte,recordar,-,Akk,0/0,0/0,0/0
verlieren,verliert,hat verloren,verlor,verlöre,perder,-,Akk,0/0,0/0,0/0
passen,passt,hat gepasst,passte,passte,quedar bien,-,Akk,0/0,0/0,0/0
verabreden,verabredet,hat verabredet,verabredete,verabredete,quedar con/citar,-,Akk,0/0,0/0,0/0
verpassen,verpasst,hat verpasst,verpasste,verpasste,perderse,-,Akk,0/0,0/0,0/0
ausgeben,gibt aus,hat ausgegeben,gab aus,gäbe aus,gastar,-,AkkDat,0/0,0/0,0/0
weitergeben,gibt weiter,hat weitergegeben,gab weiter,gäbe weiter,transmitir,-,AkkDat,0/0,0/0,0/0
helfen,hilft,hat geholfen,half,hülfe,ayudar,-,Dat,0/0,0/0,0/0
springen,springt,ist gesprungen,sprang,spränge,saltar,-,-,0/0,0/0,0/0
durcheinanderbringen,bringt durcheinander,hat durcheinandergebracht,brachte durcheinander,brächte durcheinander,confundir/desordenar,-,AkkDat,0/0,0/0,0/0
fliegen,fliegt,ist geflogen,flog,flöge,volar,-,-,0/0,0/0,0/0
laufen,läuft,ist gelaufen,lief,liefe,caminar,-,-,0/0,0/0,0/0
unterrichten,unterrichtet,hat unterrichtet,unterrichtete,unterrichtete,enseñar,-,Akk,0/0,0/0,0/0
weglaufen,läuft weg,ist weggelaufen,lief weg,liefe weg,echar a correr,-,-,0/0,0/0,0/0
rennen,rennt,ist gerannt,rannte,ränne,correr,general,-,0/0,0/0,0/0
joggen,joggt,ist gejoggt,joggte,joggte,correr,hacer footing,-,0/0,0/0,0/0
bieten,bietet,hat geboten,bot,böte,ofrecer,-,AkkDat,0/0,0/0,0/0
anbieten,bietet an,hat angeboten,bot an,böte an,ofrecer,-,Akk,0/0,0/0,0/0
verbieten,verbietet,hat verboten,verbot,verböte,prohibir,-,Akk,0/0,0/0,0/0
laden,lädt,hat geladen,lud,lüde,cargar,-,AkkDat,0/0,0/0,0/0
wachsen,wächst,ist gewachsen,wuchs,wüchse,crecer,-,-,0/0,0/0,0/0
