Genus,Wort,Femeninum,Plural,Plural Femininum,Übersetzung,Beschreibung,Treffer Spanisch,Treffer Deutsch
e,Wiese,-,-n,-,Prado,-,0/0 11-02-24,0/0 11-02-24
e,Erde,-,-n,-,Tierra,-,0/0 11-02-24,0/0 11-02-24
s,Regal,-,-e,-,Repisa,abierta,1/2 14-02-25,0/0 11-02-24
s,Schlafzimmer,-,-,-,Recámara,-,0/0 11-02-24,0/0 11-02-24
s,Schwimmbad,-,⸚er,-,Alberca,-,1/2 14-02-25,1/2 14-02-25
r,Schrank,-,⸚e,-,Estante,cerrado,1/2 14-02-25,0/0 11-02-24
r,Sessel,-,-,-,Sillón,-,1/1 14-02-25,1/2 15-02-25
s,Sofa,-,-s,-,Sofá,-,0/0 11-02-24,1/1 11-02-24
s,Bettsofa,-,-s,-,Sofá cama,-,0/0 11-02-24,0/0 11-02-24
r,Spiegel,-,-,-,Espejo,-,0/0 11-02-24,1/1 11-02-24
e,Spüle,-,-n,-,Fregadero,-,0/0 11-02-24,1/2 11-02-24
e,Steckdose,-,-n,-,Enchufe,-,0/0 11-02-24,1/2 15-02-25
r,Stecker,-,-,-,Clavija,-,0/0 11-02-24,0/0 11-02-24
r,Stuhl,-,⸚e,-,Silla,-,0/0 11-02-24,1/1 11-02-24
r,Kinderstuhl,-,⸚e,-,Silla de niño,-,0/0 11-02-24,0/0 11-02-24
r,Taschenrechner,-,-,-,Calculadora,-,0/0 11-02-24,1/2 15-02-25
s,Telefon,-,-e,-,Teléfono,-,0/0 11-02-24,1/2 11-02-24
r,Teppich,-,-e,-,Alfombra,-,0/0 11-02-24,0/0 11-02-24
e,Terrasse,-,-n,-,Terraza,-,0/0 11-02-24,0/0 11-02-24
r,Tisch,-,-e,-,Mesa,-,0/0 11-02-24,0/0 11-02-24
e,Toilette,-,-n,-,Inodoro,-,0/0 11-02-24,1/2 14-02-25
r,Topf,-,⸚e,-,Olla,-,1/3 14-02-25,0/0 11-02-24
e,Treppe,-,-n,-,Escalera,fija,2/3 11-02-24,0/0 11-02-24
e,Leiter,-,-n,-,Escalera,portátil,0/0 11-02-24,0/0 11-02-24
e,Tür,-,-en,-,Puerta,-,0/0 11-02-24,0/0 11-02-24
s,Tor,-,-e,-,Puerta/Gol,-,0/0 11-02-24,0/0 11-02-24
e,Uhr,-,-en,-,Reloj,-,1/1 14-02-25,1/2 11-02-24
r,Vorhang,-,⸚e,-,Cortina,-,1/2 11-02-24,0/0 11-02-24
e,Wand,-,⸚e,-,Pared,-,0/0 11-02-24,0/0 11-02-24
s,Waschbecken,-,-,-,Lavabo,completo,1/3 11-02-24,1/3 11-02-24
e,Waschmaschine,-,-n,-,Lavadora,-,1/2 11-02-24,0/0 11-02-24
r,Wasserhahn,-,⸚e,-,Llave de agua,-,0/0 11-02-24,0/0 11-02-24
r,Wecker,-,-,-,Despertador,-,0/0 11-02-24,0/0 11-02-24
r,Wolf,-,⸚e,-,Lobo,-,0/0 11-02-24,0/0 11-02-24
s,Wohnzimmer,-,-,-,Sala,-,0/0 11-02-24,0/0 11-02-24
e,Zahl,-,-en,-,Número,general,0/0 11-02-24,0/0 11-02-24
e,Nummer,-,-n,-,Número,-,0/0 11-02-24,1/2 14-02-25
e,Kirsche,-,-n,-,Cereza,-,1/3 15-02-25,1/2 11-02-24
r,Pfirsich,-,-e,-,Durazno,-,0/0 11-02-24,1/2 14-02-25
