Adjektiv,Komparativ,Superlativ,Übersetzung,Beschreibung,Treffer Deutsch
reich,reicher,am reichsten,rico,-,1/1 11-02-24
tot,toter,am totesten,muerto,-,1/2 11-02-24
verboten,verbotener,am verbotensten,prohibido,-,0/0 11-02-24
automatisch,automatischer,am automatischsten,automático,-,1/1 11-02-24
direkt,direkter,am direktesten,directo,-,2/4 11-02-24
durchschnittlich,durchschnittlicher,am durchschnittlichsten,promedio,-,2/4 11-02-24
einfach,einfacher,am einfachsten,sencillo,-,1/2 11-02-24
früh,früher,am frühesten,temprano,-,1/3 11-02-24
kaputt,kaputter,am kaputtesten,roto,-,1/2 11-02-24
kompliziert,komplizierter,am kompliziertesten,complicado,-,1/2 11-02-24
normal,normaler,am normalsten,normal,-,0/0 11-02-24
technish,technischer,am technischsten,técnico,-,1/2 11-02-24
verschieden,verschiedener,am verschiedensten,diferente,-,1/2 11-02-24
unterschiedlich,unterschiedlicher,am unterschiedlichsten,diferente,-,1/1 11-02-24
wahr,wahrer,am wahrsten,verdadero,-,1/2 11-02-24
aktiv,aktiver,am aktivsten,activo,-,2/4 11-02-24
berufstätig,berufstätiger,am berufstätigsten,activo laboralmente,-,0/0 11-02-24
allein,alleiner,am alleinsten,solo,-,1/2 11-02-24
ärgerlich,ärgerlicher,am ärgerlichsten,molesto,-,1/2 11-02-24
beruflich,beruflicher,am beruflichsten,laboral,-,1/2 11-02-24
besetzt,besetzter,am besetztesten,ocupado,-,4/8 11-02-24
dauernd,dauernder,am dauerndsten,permanente,-,0/0 11-02-24
frei,freier,am freiesten,libre,-,1/1 11-02-24
früher,früherer,am frühersten,anterior,de antes,2/4 11-02-24
vorig,voriger,am vorigsten,anterior,anterior inmediato,2/5 11-02-24
glücklich,glücklicher,am glücklichsten,feliz,-,1/2 11-02-24
höflich,höflicher,am höflichsten,cortés,-,1/3 11-02-24
kritisch,kritischer,am kritischsten,crítico,-,1/1 11-02-24
ledig,lediger,am ledigsten,soltero,-,1/1 11-02-24
neugierig,neugieriger,am neugierigsten,curioso,-,0/0 11-02-24
spät,später,am spätesten,tarde,-,1/1 11-02-24
überzeugt,überzeugter,am überzeugtsten,convencido,-,1/3 11-02-24
unbedingt,unbedingter,am unbedingtsten,indispensable,-,1/2 11-02-24
unfreundlich,unfreundlicher,am unfreundlichsten,descortés,-,2/4 11-02-24
unmöglich,unmöglicher,am unmöglichsten,imposible,-,1/3 11-02-24
verheiratet,verheirateter,am verheiratetsten,casado,-,1/2 11-02-24
deutsch,deutscher,am deutschesten,alemán,-,2/2 11-02-24
erste,erster,am ersten,primero,-,1/2 11-02-24
flach,flacher,am flachsten,plano,-,0/0 11-02-24
folgend,folgender,am folgendsten,siguiente,-,2/4 11-02-24
gleichzeitig,gleichzeitiger,am gleichzeitigsten,simultáneo,-,1/2 11-02-24
ideal,idealer,am idealsten,ideal,-,2/3 11-02-24
persönlich,persönlicher,am persönlichsten,personal,-,2/3 11-02-24
plötzlich,plötzlicher,am plötzlichsten,repentino,-,1/1 11-02-24
sonnig,sonniger,am sonnigsten,soleado,-,3/4 11-02-24
täglich,täglicher,am täglichsten,diario,-,2/3 11-02-24
typisch,typischer,am typischsten,típico,-,2/2 11-02-24
warm,warmer,am wärmsten,cálido,-,1/2 11-02-24
zweite,zweiter,am zweitesten,segundo,-,1/1 11-02-24
amerikanisch,amerikanischer,am amerikanischsten,americano,-,1/2 11-02-24
durstig,durstiger,am durstigsten,sediento,-,1/2 11-02-24
notwendig,notwendiger,am notwendigsten,necesario,-,0/0 11-02-24
sozial,sozialer,am sozialsten,social,-,3/4 11-02-24
ausländisch,ausländischer,am ausländischsten,extranjero,-,1/2 11-02-24
dankbar,dankbarer,am dankbarsten,agradecido,-,1/2 11-02-24
demokratisch,demokratischer,am demokratischsten,democrático,-,1/1 11-02-24
enttäuscht,enttäuschter,am enttäuschtesten,decepcionado,-,1/2 11-02-24
international,internationaler,am internationalsten,internacional,-,0/0 11-02-24
kapitalistisch,kapitalistischer,am kapitalistischsten,capitalista,-,1/2 11-02-24
kommunistisch,kommunistischer,am kommunistischsten,comunista,-,3/6 11-02-24
leer,leerer,am leersten,vacío,-,1/1 11-02-24
liberal,liberaler,am liberalsten,liberal,-,0/0 11-02-24
national,nationaler,am nationalsten,nacional,-,3/4 11-02-24
politisch,politischer,am politischsten,político,-,1/1 11-02-24
sozialdemokratisch,sozialdemokratischer,am sozialdemokratischsten,socialdemócrata,-,2/3 11-02-24
sozialistisch,sozialistischer,am sozialistischsten,socialista,-,1/1 11-02-24
verletzt,verletzter,am verletztesten,herido,-,0/0 11-02-24
völlig,völliger,am völligsten,completamente,-,0/0 11-02-24
wahrscheinlich,wahrscheinlicher,am wahrscheinlichsten,probable,-,1/2 11-02-24
westlich,westlicher,am westlichsten,occidental,-,2/4 11-02-24
salopp,salopper,am saloppsten,informal,-,2/4 11-02-24
zufällig,zufälliger,am zufälligsten,casual/aleatorio,-,2/4 11-02-24
zusammen,-,-,junto,-,0/0 11-02-24
annehmbar,annehmbarer,am annehmbarsten,aceptable,-,1/1 11-02-24
akzeptabel,akzeptabler,am akzeptabelsten,aceptable,-,0/0 11-02-24
ehrenamtlich,ehrenamtlicher,am ehrenamtlichsten,voluntario,-,2/4 11-02-24
verwandt,verwandter,am verwandtesten,relacionado,-,0/0 11-02-24
betriebsbedingt,-,-,relacionado con el trabajo,-,0/0 11-02-24
altersbedingt,-,-,relacionado con la edad,-,1/2 11-02-24
überhaupt,-,-,en absoluto,-,1/2 11-02-24
falsch,falscher,am falschesten,falso,-,0/0 11-02-24
unverständlich,unverständlicher,am unverständlichsten,incomprensible,-,1/2 11-02-24
verständlich,verständlicher,am verständlichsten,comprensible,-,0/0 11-02-24
inakzeptabel,inakzeptabler,am inakzeptabelsten,inaceptable,-,2/4 11-02-24
aufrecht,aufrechter,am aufrechtesten,erguido/honesto,-,1/2 11-02-24
verzweifelt,verzweifelter,am verzweifeltesten,desesperado,-,2/4 11-02-24
heimlich,heimlicher,am heimlichsten,secreto,-,1/2 11-02-24
undeutlich,undeutlicher,am undeutlichsten,indistinto,-,0/0 11-02-24
aufgeregt,aufgeregter,am aufgeregtesten,emocionado,-,1/2 11-02-24
häufig,häufiger,am häufigsten,frecuente,-,0/0 11-02-24
unwichtig,unwichtiger,am unwichtigsten,insignificante,-,2/4 11-02-24
betrunken,betrunkener,am betrunkensten,ebrio,-,2/5 11-02-24
begeistert,begeisterter,am begeistertsten,entusiasmado,-,1/3 11-02-24
hysterisch,hysterischer,am hysterischsten,histérico,-,1/2 11-02-24
schrecklich,schrecklicher,am schrecklichsten,horrible,-,1/2 11-02-24
positiv,positiver,am positivsten,positivo,-,1/1 11-02-24
neutral,neutraler,am neutralsten,neutral,-,2/2 11-02-24
negativ,negativer,am negativsten,negativo,-,1/1 11-02-24
grundsätzlich,grundsätzlicher,am grundsätzlichsten,fundamental,-,4/9 11-02-24
mittelmäßig,mittelmäßiger,am mittelmäßigsten,mediocre,-,2/4 11-02-24
geboren,-,-,nacido,-,1/1 11-02-24
geschieden,-,-,divorciado,-,2/4 11-02-24
verwitwet,-,-,viudo,-,2/6 11-02-24
üblich,üblicher,am üblichsten,común,-,2/3 11-02-24
gemainsam,gemeinsamer,am gemeinsamsten,en conjunto/común,-,1/1 11-02-24
afrikanisch,afrikanischer,am afrikanischsten,africano,-,3/4 11-02-24
asiatisch,asiatischer,am asiatischsten,asiático,-,1/2 11-02-24
ozeanisch,ozeanischer,am ozeanischsten,oceánico,-,1/2 11-02-24
gruselig,gruseliger,am gruseligsten,escalofriante,-,2/4 11-02-24
allergisch,allergischer,am allergischsten,alérgico,-,1/2 11-02-24
hungrig,hungriger,am hungrigsten,hambriento,-,2/3 11-02-24
minderjährig,-,-,menor de edad,-,0/0 11-02-24
volljährig,-,-,mayor de edad,-,0/0 11-02-24
erziehbar,erziehbarer,am erziehbarsten,educable,-,2/5 11-02-24
zuständig,zuständiger,am zuständigsten,responsable,-,0/0 11-02-24
senil,seniler,am senilsten,senil,-,4/6 11-02-24
gebrechlich,gebrechlicher,am gebrechlichsten,frágil,-,1/2 11-02-24
pflegebedürftig,pflegebedürftiger,am pflegebedürftigsten,dependiente de cuidados,-,1/2 11-02-24
anfällig,anfälliger,am anfälligsten,vulnerable,-,1/2 11-02-24
geistig,geistiger,am geistigsten,mental,-,0/0 11-02-24
weiblich,weiblicher,am weiblichsten,femenino,-,2/2 11-02-24
männlich,männlicher,am männlichsten,masculino,-,1/1 11-02-24
gegenseitig,gegenseitiger,am gegenseitigsten,mutuo,-,2/4 11-02-24
verliebt,verliebter,am verliebtesten,enamorado,-,0/0 11-02-24
verlobt,verlobter,am verlobtesten,comprometido,-,1/2 11-02-24
befreundet,befreundeter,am befreundetsten,amistoso,-,1/2 11-02-24
getrennt,getrennter,am getrenntesten,separado,-,1/2 11-02-24
